Posición,Título,Año,Duración,Rating
235, Siempre a tu lado (Hachiko),,,"8,1
 (335 mil)"
236, Rush,,,"8,1
 (548 mil)"
237, El mago de Oz,,,"8,1
 (459 mil)"
238, Cuenta conmigo,,,"8,1
 (475 mil)"
239, El gigante de hierro,,,"8,1
 (253 mil)"
240, La pasión de Juana de Arco,,,"8,1
 (67 mil)"
241, Mi padre y mi hijo,,,"8,2
 (99 mil)"
242, La doncella,,,"8,1
 (195 mil)"
243," Network, un mundo implacable",,,"8,1
 (183 mil)"
244, La batalla de Argel,,,"8,1
 (74 mil)"
245, Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito,,,"8,2
 (94 mil)"
246, Las uvas de la ira,,,"8,1
 (107 mil)"
247, Ser o no ser,,,"8,1
 (48 mil)"
248, Gangs of Wasseypur,,,"8,2
 (111 mil)"
249, Drishyam,,,"8,2
 (105 mil)"
250, Criadas y señoras,,,"8,1
 (521 mil)"
